Citation,Habitat,meanLat,meanLon,meanNodes,meanLinks,meanLinkDensity,meanGenerality,meanNormGen,meanVulnerability,meanNormVul,meanFracBasal,meanFracInt,meanFracTop,meanMeanFoodChain,meanModularity
"Baeta, A., Niquil, N., Marques, JC., and Patricio, J. (2011). Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs. Ecological Modelling, 222, pp. 1209-1221.",marine,41.13770346,-8.670965119,22,83,3.772727273,5.1875,1.375,3.952380952,1.047619048,0.272727273,0.681818182,0.045454545,4.8885,0.18609375
Bainbridge & McKay (1968),marine,60,-40,5,5,1,2.5,2.5,1.666666667,1.666666667,0.6,0,0.4,2,0.08
Baird & Ulanowicz 1989,marine,37.5214,-76.105,519,15674,30.20038536,42.24797844,1.398921833,33.13742072,1.097251586,0.285163776,0.626204239,0.088631985,5.967,0.329067356
"Baril, A. (1983). Effect of the water mite Piona constricta on planktonic community structure. M.Sc. Thesis, University of Ottawa, Canada.",freshwater,28.409389,-81.6480405,17,32,1.882352941,2.666666667,1.416666667,2.133333333,1.133333333,0.294117647,0.588235294,0.117647059,4.902,0.260253906
"Bayle-Sempere J.T.,ArreguÃÂÃÂ­n-SÃÂÃÂ¡nchez F.,Sanchez-Jerez P.,Salcido-Guevara L.A.,Fernandez-Jover D.,Zetina-RejÃÂÃÂ³n M.J.(2013). Trophic structure and energy fluxes around a Mediterranean fish farm Ecological Modelling. pp 135-147",marine,38.096235,-0.6044179,41,291,7.097560976,7.864864865,1.108108108,7.657894737,1.078947368,0.097560976,0.829268293,0.073170732,6.679,0.219905655
"Bentorcha A., Gascuel D., GuÃÂÃÂ©nette S., 2017, Aquatic Living Resources, 30: 7",marine,48.033155,-7.9603756,38,453,11.92105263,12.94285714,1.085714286,11.92105263,1,0.078947368,0.921052632,0,8.227,0.098198761
Bethea et al (2006),marine,29.98585925,-85.51609787,2,1,0.5,1,2,1,2,0.5,0,0.5,2,0
"Blanchard J.L.,Pinnegar J.K.,Mackinson S.(2002). Exploring Marine Mammal-Fishery Interactions Using 'Ecopath with Ecosim': Modelling the Barents Sea Ecosystem Science Series Technical Report",marine,74.9650925,38.9168425,41,297.5,7.256097561,8.2638888885,1.138888889,8.0405405405,1.108108108,0.12195122,0.780487805,0.097560976,6.413,0.22600318600000002
"Brando V.E.,Ceccarelli R.,Libralato S.,Ravagnan G.(2004). Assessment of environmental management effects in a shallow water basin using mass-balance models Ecological Modelling. pp 213-232",marine,42.4565918,11.18476563,12,27,2.25,3,1.333333333,3.857142857,1.714285714,0.25,0.333333333,0.416666667,3.636,0.244170096
Bredesen E.L.(2003). Krill and the Antarctic: Finding the Balance,marine,-57.4,-40,30,209,6.966666667,7.464285714,1.071428571,7.464285714,1.071428571,0.066666667,0.866666667,0.066666667,5.587,0.164178934
"Brodeur, R. (1998)",marine,56.83333333,-156,12,11,0.916666667,11,12,1,1.090909091,0.916666667,0,0.083333333,2,0
"Brooks, J.L. and Deevey, E.S. (1963). New England, In: D. G. Frey, (ed). Limnology in North America. (University of Wisconsin Press, Madison, Wisconsin, USA), pp. 117-162.",freshwater,45.4259201,-69.5922317,17,32,1.882352941,2.133333333,1.133333333,2.666666667,1.416666667,0.117647059,0.588235294,0.294117647,4.0125,0.252441406
"Brown, A.C. (1964). Food relationships on the intertidal sandy beaches of the Cape Peninsula. S. Afr. J. Sci. 60:35-41.",marine,-33.7401423,18.43976737,21,36,1.714285714,1.894736842,1.105263158,2.4,1.4,0.095238095,0.619047619,0.285714286,3.4015,0.425154321
"Brown, J. (1971). The structure and function of the tundra ecosystem. US Tundra Biome Program 1971 Progress Report, 1.",marine,61.50078125,-149.4335449,12,19,1.583333333,2.111111111,1.333333333,2.111111111,1.333333333,0.25,0.5,0.25,4.2345,0.253462604
"Brown, J. (1975). Ecological investigations of the Tundra biome in the Prudhow Bay Region, Alaska, Speical Report, no. 2, Biol. Pap. Univ. Alaska.",marine,61.50078125,-149.4335449,10,12,1.2,1.5,1.25,1.714285714,1.428571429,0.2,0.5,0.3,3.6455,0.413194444
Bulman C.(2006). Trophic webs and modelling of Australia's North West Shelf NWSJEMS Technical Report,marine,-19.5,116.65,37,334,9.027027027,10.12121212,1.121212121,10.12121212,1.121212121,0.108108108,0.783783784,0.108108108,6.9955,0.176801525
"Bulman C.,Condie S.,Furlani D.,Cahill M.,Klaer N.,Goldsworthy S.,Knuckey I.(2006). Trophic dynamics of the eastern shelf and slope of the south east fishery: impacts of and on the fishery Final Report for Fisheries Research & Development Corporation",marine,-37.83343645,148.2481463,59,570,9.661016949,10.36363636,1.072727273,9.827586207,1.017241379,0.06779661,0.898305085,0.033898305,8.354,0.171557025
"Bulman C.M.,Butler A.J.,Condie S.(2002). A trophodynamic model for the Tasmanian Seamounts Marine Reserve: links between pelagic and deepwater ecosystems Report to CSIRO Marine Research Environment Australia and the Fisheries Research and Development Corporation",marine,-44.4,147.2,25,114,4.56,4.956521739,1.086956522,6.333333333,1.388888889,0.08,0.64,0.28,4.8285,0.181519357
"Bulman, C., Althaus, F., He, X., Bax, N.J., and Williams, A. (2001). Diets and trophic guilds of demersal fishes of the south-eastern Australian shelf. Marine and Freshwater Research. 52, pp. 537-48.",marine,-35.21425781,150.5674805,23,141,6.130434783,9.4,1.533333333,7.421052632,1.210526316,0.347826087,0.47826087,0.173913043,4.3345,0.061666918
"Bundy A.(2002). Adaptation of a Newfoundland-Labrador Ecopath model for 1985-1987 in statistical area 2J3KLNO to the area 2J3KL Information supporting past and present ecosystem models of Northern British Columbia and the Newfoundland shelf. pp 13-21. In Pitcher T.,Vasconcellos M.,Heymans S.J.J.,Brignall C.,Haggan N.",marine,50.666665,-51.387095,31,278,8.967741935,9.586206897,1.068965517,10.2962963,1.148148148,0.064516129,0.806451613,0.129032258,5.428,0.127810485
Bundy A.(2004). Mass balance models of the eastern Scotian Shelf before and after the cod collapse and other ecosystem changes Canadian Technical Report of Fisheries and Aquatic Sciences,marine,44.088595,-60.017565,39,473,12.12820513,12.78378378,1.054054054,13.13888889,1.083333333,0.051282051,0.846153846,0.102564103,6.132,0.101542817
"Burgis, M.J., Dunn, I.G., Ganf, G.G., McGowan, L.M. and Viner, A.B. (1972). Lake George, Uganda: Studies on a tropical freshwater ecosystem. In: Z.  Kajak and A. Hillbricht-Ilkowska, (eds). Productivity Problems of Freshwaters. (Polish Scientific, Warsaw), pp. 301-309.",freshwater,-0.0021127,30.2306645,16,27,1.6875,1.928571429,1.142857143,2.076923077,1.230769231,0.125,0.6875,0.1875,4.1785,0.367626886
"C.A. Carlson. (1968). Summer Bottom Fauna of the Mississippi River, above Dam 19, Keokuk, Iowa. Ecology. 49(1), pp. 162-169.",freshwater,29.9332003,-89.9950022,21,62,2.952380952,3.263157895,1.105263158,3.263157895,1.105263158,0.095238095,0.80952381,0.095238095,4.697,0.200702393
"C.A. Simenstad, J.A. Estes, and K.W. Kenyon. (1978). Aleuts, Sea Otters, and Alternate Stable-State Communities. Science. 200(4340), pp. 403-411.",marine,54.6214059,-164.0374499,12.5,20,1.6025641025000001,2.111111111,1.3166666665,1.9090909090000001,1.190909091,0.2403846155,0.599358974,0.1602564105,3.99575,0.266875
"C.H. Peterson. (1979). The Importance of Predation and Competition in Organizing the Intertidal Epifaunal Communities of Barnegat Inlet, New Jersey. Oecologia. 39(1), pp. 1-24.",marine,39.97330511,-74.09752399,10,14,1.4,1.75,1.25,1.75,1.25,0.2,0.6,0.2,3.663,0.221938776
"Capitani, L., Angelini, R., et al. (2021). Ocean Warming Will Reduce Standing Biomass in a Tropical Western Atlantic Reef Ecosystem.",marine,-3.86468,-33.804485,28,130,4.642857143,5.416666667,1.166666667,5.652173913,1.217391304,0.142857143,0.678571429,0.178571429,4.011,0.201390533
"Capitani, L., et al. (2021). Food web modeling indicates the potential impacts of increasing deforestation and fishing pressure in the TapajÃÂ³s River, Brazilian Amazon. Regional Environmental Change, 21(42).",freshwater,-4.3125,-55.64,35,307,8.771428571,9.903225806,1.129032258,9.903225806,1.129032258,0.114285714,0.771428571,0.114285714,4.6515,0.057756581
"Castilla, J.C. (1981). Perspectivas de investigacion en estructura y dinamica de comunidades intermareales rocosas de Chile Central. II. Depredadores de alto invel trofico. Medio Ambiente 5: 190-215.",marine,-18.40748228,-70.36040037,21,57,2.714285714,3.166666667,1.166666667,3.352941176,1.235294118,0.142857143,0.666666667,0.19047619,3.7325,0.1848261
Cattin Blandenier 2004,terrestrial,46.7839,6.6665,389,6610,16.99228792,32.24390244,1.897560976,17.21354167,1.013020834,0.473007712,0.514138817,0.01285347,6.242,0.343104477
"Chase, B.C. (2002)",marine,42.346666666,-70.536666668,7.6,6.6,0.8542063492,6.6,7.6,1,1.1757936508,0.8542063492,0,0.1457936508,2,0
Christensen V.(1998). Fishery-induced changes in a marine ecosystem: insight from models of the Gulf of Thailand Journal of Fish Biology. pp 128-142,marine,11,101,29,135,4.655172414,5,1.074074074,5.4,1.16,0.068965517,0.793103448,0.137931034,5.267,0.247050754
"Christensen V.,Garces L.,Silvestre G.,Pauly D.,Christensen V.,Garces L.,Silvestre G.,Pauly D.,Christensen V.,Garces L.,Silvestre G.,Pauly D.,Christensen V.,Garces L.,Silvestre G.,Pauly D.(2003). Fisheries Impact on the South China Sea Large Marine Ecosystem: A Preliminary Analysis using Spatially-Explicit Methodology . pp 51-62. In Silvestre G.,Garces L.,Stobutzki I.,Ahmed M.,Valmonte-Santos R.A.,Luna C.,Lachica-AliÃÂÃÂ±o L.,Munro P.,Christensen V.,Pauly D.,Silvestre G.,Garces L.,Stobutzki I.,Ahmed M.,Valmonte-Santos R.A.,Luna C.,Lachica-AliÃÂÃÂ±o L.,Munro P.,Christensen V.,Pauly D.",marine,7.36444225,102.125,15,67,4.4666666665,5.153846154,1.153846154,5.153846154,1.153846154,0.133333333,0.733333333,0.133333333,5.16075,0.1743315505
"Christensen V.,Pauly D.(1992). The ECOPATH II - a software for balancing steady-state ecosystem models and calculating network characteristics Ecological Modelling. pp 169-185",marine,54.47246094,9.868652344,10,17,1.7,2.125,1.25,2.125,1.25,0.2,0.6,0.2,4.3145,0.193771626
"Christian, R.R., and Luczkovich, J.J. (1999). Organizing and understanding a winter's seagrass foodweb network through effective trophic levels. Ecological Modelling. 117. pp. 99-124.",freshwater,30.1612024,-84.2064795,48,221,4.604166667,5.261904762,1.142857143,5.666666667,1.230769231,0.125,0.6875,0.1875,4.7845,0.266098155
"Cisneros-Montemayor A.M.,Christensen V.,ArreguÃÂÃÂ­n-SÃÂÃÂ¡nchez F.,Sumaila R.U.(2012). Ecosystem models for management advice: An analysis of recreational and commercial fisheries policies in Baja California Sur, Mexico Ecological Modelling. pp 8-16",marine,25.332815,-116.64755,18,114,6.333333333,7.125,1.125,6.705882353,1.058823529,0.055555556,0.833333333,0.055555556,6.285,0.105661157
"Closs, G.P., and Lake, P.S. (1994). Spatial and Temporal Variation in the Structure of an Intermittent-Stream Food Web. Ecological Monographs. 64, pp. 1-21.",freshwater,-37.4601644,144.275288,21,50,2.380952381,3.333333333,1.4,4.166666667,1.75,0.285714286,0.285714286,0.428571429,2.4625,0.2642
Cohen et al. 2009,marine,57.32684407,-1.957844461,92,414,4.5,4.704545455,1.045454546,6.677419355,1.483870968,0.043478261,0.630434783,0.326086957,6.083191182,0.281608089
"Collacter M.,Gascuel D.,Ecoutin J.-M.,Tito de Morais L.(2012). Modelling trophic flows in ecosystems to assess the efficiency of marine protected area (MPA), a case study on the coast of Senegal Ecological Modelling. pp 1-13",marine,13.73143887,-16.61867512,31,303,9.774193548,10.82142857,1.107142857,10.1,1.033333333,0.096774194,0.838709677,0.064516129,5.356,0.063659489
"Copeland, B. J.,Tenore, K.R. and Horton, D.B. (1974). Oligohaline regime. in: H. T. Odum, B. J. Copeland, and E. A. McMahan, (eds). Coastal ecological systems of the United States. Volume 2. (The Conservation Foundation, Washington, DC).",marine,34.73081055,-77.41225586,14,20,1.428571429,2,1.4,2,1.4,0.285714286,0.428571429,0.285714286,3.2325,0.355
"Cornejo-Donoso, J., and Antezana, T. (2008). Preliminary trophic model of the Antarctic Peninsula Ecosystem (Sub-area CCAMLR 48.1). Ecological Modelling. 218, pp. 1-17.",terrestrial,-69.9896303,-65.4005046,28,191,6.821428571,7.346153846,1.076923077,7.958333333,1.166666667,0.071428571,0.785714286,0.142857143,5.0375,0.104698336
"Cruz-Escalona, V.H., Arrequin-Sanchez, F., and Zetina-Rejon. (2007). Analysis of the ecosystem structure of Laguna Alvarado, western Gulf of Mexico, by means of a mass balance model. Estuarine, Coastal and Shelf Science. 72, pp. 155-167.",marine,18.7782003,-95.8238216,30,229,7.633333333,8.481481481,1.111111111,7.633333333,1,0.1,0.866666667,0.033333333,8.0205,0.13941156
"D. Chagaris & B. Mahmoudi, 2010. Assessing the influence of bottom-up and top-down processes in Tampa Bay using Ecopath with Ecosim. In: Cooper, S.T. (ed.). Proceedings, Tampa Bay Area Scientific Information Symposium, BASIS 5: 20-23 October 2009. St. Petersburg, FL. pp 263-274.",marine,27.79176588,-82.42089965,74,1283,17.33783784,18.5942029,1.072463768,17.57534247,1.01369863,0.067567568,0.905405405,0.027027027,6.278,0.13445657
"D.C. Edwards, D.O. Conover, and F. Sutter III. Mobile Predators and the Structure of Marine Intertidal Communities. Ecology, 63(4), pp. 1175-1180.",marine,29.70234375,-95.02285156,10,22,2.2,2.75,1.25,2.444444444,1.111111111,0.2,0.7,0.1,4.446,0.099173554
"D.C. Force. (1974). Ecology of Insect Host-Parasitoid Communities. Science. 184(4137), pp. 624-632.",terrestrial,34.4182937,-118.6117057,8,15,1.875,2.142857143,1.142857143,2.5,1.333333333,0.125,0.625,0.25,3.8525,0
"D.G. Koslucher, and G.W. Minshall. (1973). Food Habits of Some Benthic Invertebrates in a Northern Cool-Desert Stream (Deep Creek, Curlew Valley, Idaho-Utah). Transactions of the American Microscopial Society, 92(3), pp. 441-452.",freshwater,37.7673512,-75.7527083,32,140,4.375,9.333333333,2.133333333,5.384615385,1.230769231,0.53125,0.28125,0.1875,3.0635,0.159872449
"Dahood, A",marine,-64.985,-60.15,35,164,4.685714286,5.290322581,1.129032258,5.125,1.09375,0.114285714,0.8,0.085714286,5.479,0.2179796
"Dalsgaard J.,Pauly D.,Okey T.A.(1997). Preliminary mass-balance model of Prince William Sound, Alaska, for the pre-spill period, 1980-1989 Fisheries Centre Research Reports",marine,60.610665,-147.1362,19,62,3.263157895,3.875,1.1875,3.647058824,1.117647059,0.157894737,0.736842105,0.105263158,5.005,0.23582206
"Daniel Vilas, Marta Coll, Torstein Pedersen, Xavier Corrales, Karen Filbee-Dexter, Morten Foldager Pedersen, Kjell Magnus Norderhaug, Stein Fredriksen, Thomas Wernberg, Eva RamÃÂÃÂ­rez-Llodra,
Kelp-carbon uptake by Arctic deep-sea food webs plays a noticeable role in maintaining ecosystem structural and functional traits",marine,69.57,17.93,36,202,5.611111111,6.516129032,1.161290323,6.516129032,1.161290323,0.138888889,0.694444444,0.166666667,5.5045,0.246293409
"Day, J.H. (1967). The biology of Knysna estuary, South Africa, in: Lauff, G.H. (Ed.) (1967). Estuaries. (American Association for the Advancement of Science Publication 83, Washington, DC), pp. 397-407.",marine,-32.003125,29.12783203,15,26,1.733333333,2.166666667,1.25,2,1.153846154,0.2,0.666666667,0.133333333,3.7765,0.235207101
"De Mutsert, K., Lewis, K., Milroy, S., Buszowski, J., Steenbeek, J., 2017. Using ecosystem modeling",marine,29.9315,-88.83,70,714,10.2,10.65671642,1.044776119,10.2,1,0.042857143,0.957142857,0,8.1755,0.164665517
Dias et al. 2019,marine,40,-70.5,59,933,15.81355932,16.36842105,1.035087719,15.81355932,1,0.033898305,0.966101695,0,7.8505,0.110001235
"Dimarchopoulou D, Keramidas I, Tsagarakis K and Tsikliras AC (2019) Ecosystem Models and Effort Simulations of an Untrawled Gulf in the Central Aegean Sea. Front. Mar. Sci. 6:648. doi: 10.3389/fmars.2019.00648",marine,39.21522,23.017525,31,299,9.64516129,10.67857143,1.107142857,10.67857143,1.107142857,0.096774194,0.774193548,0.129032258,6.7745,0.122532433
"Dimarchopoulou D, Tsagarakis K, Sylaios G, Tsikliras AC (2022) Ecosystem trophic structure and effort simulations of a major greek fishing ground (Thermaikos Gulf, northeastern Mediterranean Sea). Estuarine, Coastal and Shelf Science 264: 107667",marine,40.205,22.935,33,325,9.848484848,10.83333333,1.1,11.20689655,1.137931034,0.090909091,0.787878788,0.121212121,6.948,0.110286287
"Douglas, J.G., Duffy, J.E., and Canuel, E.A. (2011). Food Web Structure in a Chesapeake Bay Eelgrass Bed as Determined through Gut Contents and 13C and 15N Isotope Analysis. Estuaries and Coasts. 34, pp. 701-711.",marine,37.2186555,-76.4069022,25,41,1.64,3.727272727,2.272727273,2.733333333,1.666666667,0.56,0.04,0.4,2.127,0.394110648
"Duarte L.O.,GarcÃÂÃÂ±ÃÂÃÂa C.B.(2004). Trophic role of small pelagic fishes in a tropical upwelling ecosystem Ecological Modelling. pp 323-338",marine,11.05,-74.25,18,102,5.666666667,6.8,1.2,6,1.058823529,0.166666667,0.777777778,0.055555556,5.468,0.108714832
"Dunaeva, T. and Kucheruk, V. (1941). Material on the ecology of the terrestrial vertebrates of the tundra of south Yamal. Bull. Soc. Nat. Moscou (N.S., Zool. Sect.). 4(19):1-80.",terrestrial,45.1685441,8.0902162,11,17,1.545454545,1.888888889,1.222222222,2.833333333,1.833333333,0.181818182,0.363636364,0.454545455,3.061,0.240484429
"E. Percival and H. Whitehead (1929). A Quantitative Study of the Fauna of Some Types of Stream-Bed. Journal of Ecology. 17(2), pp. 282-314.",freshwater,49.4808857,4.1610461,60,185,3.083333333,3.490566038,1.132075472,4.512195122,1.463414634,0.116666667,0.566666667,0.316666667,3.598,0.358933528
"Efford, M. (2024). Archaeological investigations and ecological modelling into pre-contact (1792 CE) Tsleil-Waututh stewardship of Burrard Inlet, BC, Canada (T). University of British Columbia. Retrieved from https://open.library.ubc.ca/collections/ubctheses/24/items/1.0445601",marine,49.38188791,-123.2763566,52,285,5.480769231,6.477272727,1.181818182,5.7,1.04,0.153846154,0.807692308,0.038461538,6.9905,0.230000263
Eichenwald et al. 2024,terrestrial,35.008333,-115.474997,237,1366,5.76371308,23.96491228,4.157894737,5.862660944,1.017167382,0.755274262,0.223628692,0.008438819,3.9006,0.264925052
Eklof et al. 2013,marine,79.039185,11.645279,263,1593,6.057034221,7.208144796,1.190045249,6.372,1.052,0.159695817,0.790874525,0.049429658,8.264734175,0.495626241
"F.B. vanEs. (1977). A preliminary carbon budget for a part of the Ems estuary: The Dollard. Helgolander wiss. Meeresunters. 30, pp. 283-294.",marine,53.4308448,6.9476008,12,30,2.5,3.333333333,1.333333333,2.727272727,1.090909091,0.25,0.666666667,0.083333333,4.285,0.197777778
Falk-Petersen J.(2004). Ecosystem effects of red king crab invasion - a modelling approach using Ecopath with Ecosim,marine,69.65,19.8,25,135,5.4,5.869565217,1.086956522,5.869565217,1.086956522,0.08,0.8,0.12,5.0615,0.202829138
"Fetahi, T., Schagerl, M., Mengistou, S., and Libralato, S. (2011). Food web structure and trophic interactions of the tropical highland lake Hayq, Ethiopia. Ecological Modelling. 222, pp. 804-813.",freshwater,11.9507719,37.294878,15,42,2.8,3.230769231,1.153846154,3.230769231,1.153846154,0.133333333,0.733333333,0.133333333,4.1745,0.238251041
Field J.(2004). Application of ecosystem-based fishery management approaches in the northern California Current,marine,43.5,-125,65,714,10.98461538,12.10169492,1.101694915,11.9,1.083333333,0.061538462,0.861538462,0.046153846,6.67,0.172812558
"Fondo E.N.,Chaloupka M.,Heymans J.J., Skilleter G.A.(2015). Banning Fisheries Discards Abruptly Has a Negative Impact on the Population Dynamics of Charismatic Marine Megafauna",marine,-27.23861015,153.1338209,18,56,3.111111111,4.307692308,1.384615385,4.307692308,1.384615385,0.277777778,0.444444444,0.277777778,4.0295,0.264030612
"Fulton E.A.,Smith T.(2002). Ecosim Case Study: Port Phillip Bay, Australia The Use of Ecosystem Models to Investigate Multispecies Management Strategies for Capture Fisheries. pp 83-93. In Pitcher T.,Cochrane K.",marine,-38.08431,144.7523,34,299,8.794117647,10.31034483,1.172413793,9.060606061,1.03030303,0.147058824,0.764705882,0.088235294,6.018,0.147604514
"G. Fryer. (1959). The Ttophic interrelationships and ecology of some littoral communities of Lake Nyasa with especial reference to the fishes, and a discussion of the evolution of a group of rock-frequenting Cichlidae. Proceedings of the Zoological Society of London. 132(2), pp. 153-281.",freshwater,-19.3343034,146.9943005,34,52,1.529411765,1.857142857,1.214285714,3.466666667,2.266666667,0.176470588,0.264705882,0.558823529,2.791,0.413831361
